case_id,language,reference_group,similarity_category,code_a_id,code_a_filename,code_a_path,code_a_loc,code_a_methods,code_b_id,code_b_filename,code_b_path,code_b_loc,code_b_methods,expected_similarity_min,expected_similarity_max,evaluator,evaluation_date,notes
CASE_CODE_JAVA_002,Java,1,functional,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,CODE_FUN_JAVA_001,CODE_FUN_JAVA_001.java,java/CODE_FUN_JAVA_001.java,28,4,70,90,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_003,Java,1,structural,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,CODE_ESTRU_JAVA_001,CODE_ESTRU_JAVA_001.java,java/CODE_ESTRU_JAVA_001.java,22,1,40,60,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_004,Java,1,different,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,CODE_DIF_JAVA_001,CODE_DIF_JAVA_001.java,java/CODE_DIF_JAVA_001.java,56,7,0,20,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_005,Java,2,identical,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,100,100,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_006,Java,2,functional,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_FUN_JAVA_002,CODE_FUN_JAVA_002.java,java/CODE_FUN_JAVA_002.java,37,8,70,90,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_007,Java,2,structural,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_ESTRU_JAVA_002,CODE_ESTRU_JAVA_002.java,java/CODE_ESTRU_JAVA_002.java,23,1,40,60,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_008,Java,2,different,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_DIF_JAVA_002,CODE_DIF_JAVA_002.java,java/CODE_DIF_JAVA_002.java,48,5,0,20,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_009,Java,3,identical,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,100,100,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_010,Java,3,functional,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_FUN_JAVA_003,CODE_FUN_JAVA_003.java,java/CODE_FUN_JAVA_003.java,28,4,70,90,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_011,Java,3,structural,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_ESTRU_JAVA_003,CODE_ESTRU_JAVA_003.java,java/CODE_ESTRU_JAVA_003.java,23,1,40,60,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_012,Java,3,different,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_DIF_JAVA_003,CODE_DIF_JAVA_003.java,java/CODE_DIF_JAVA_003.java,60,4,0,20,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_013,Java,4,identical,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,100,100,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_014,Java,4,functional,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_FUN_JAVA_004,CODE_FUN_JAVA_004.java,java/CODE_FUN_JAVA_004.java,39,4,70,90,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_015,Java,4,structural,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_ESTRU_JAVA_004,CODE_ESTRU_JAVA_004.java,java/CODE_ESTRU_JAVA_004.java,27,1,40,60,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_016,Java,4,different,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_DIF_JAVA_004,CODE_DIF_JAVA_004.java,java/CODE_DIF_JAVA_004.java,54,6,0,20,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_017,Java,5,identical,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,100,100,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_018,Java,5,functional,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_FUN_JAVA_005,CODE_FUN_JAVA_005.java,java/CODE_FUN_JAVA_005.java,45,7,70,90,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_019,Java,5,structural,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_ESTRU_JAVA_005,CODE_ESTRU_JAVA_005.java,java/CODE_ESTRU_JAVA_005.java,26,1,40,60,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_020,Java,5,different,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_DIF_JAVA_005,CODE_DIF_JAVA_005.java,java/CODE_DIF_JAVA_005.java,80,9,0,20,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_021,Java,6,identical,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,100,100,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_022,Java,6,functional,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_FUN_JAVA_006,CODE_FUN_JAVA_006.java,java/CODE_FUN_JAVA_006.java,47,5,70,90,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_023,Java,6,structural,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_ESTRU_JAVA_006,CODE_ESTRU_JAVA_006.java,java/CODE_ESTRU_JAVA_006.java,24,1,40,60,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_024,Java,6,different,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_DIF_JAVA_006,CODE_DIF_JAVA_006.java,java/CODE_DIF_JAVA_006.java,70,5,0,20,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_025,Java,7,identical,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,100,100,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_026,Java,7,functional,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_FUN_JAVA_007,CODE_FUN_JAVA_007.java,java/CODE_FUN_JAVA_007.java,46,4,70,90,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_027,Java,7,structural,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_ESTRU_JAVA_007,CODE_ESTRU_JAVA_007.java,java/CODE_ESTRU_JAVA_007.java,27,1,40,60,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_028,Java,7,different,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_DIF_JAVA_007,CODE_DIF_JAVA_007.java,java/CODE_DIF_JAVA_007.java,62,5,0,20,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_029,Java,8,identical,CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,27,1,CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,27,1,100,100,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_030,Java,8,functional,CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,27,1,CODE_FUN_JAVA_008,CODE_FUN_JAVA_008.java,java/CODE_FUN_JAVA_008.java,40,5,70,90,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_031,Java,8,structural,CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,27,1,CODE_ESTRU_JAVA_008,CODE_ESTRU_JAVA_008.java,java/CODE_ESTRU_JAVA_008.java,27,1,40,60,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_032,Java,8,different,CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,27,1,CODE_DIF_JAVA_008,CODE_DIF_JAVA_008.java,java/CODE_DIF_JAVA_008.java,85,5,0,20,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_033,Java,9,identical,CODE_IDENT_JAVA_009,CODE_IDENT_JAVA_009.java,java/CODE_IDENT_JAVA_009.java,36,1,CODE_IDENT_JAVA_009,CODE_IDENT_JAVA_009.java,java/CODE_IDENT_JAVA_009.java,36,1,100,100,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_034,Java,9,functional,CODE_IDENT_JAVA_009,CODE_IDENT_JAVA_009.java,java/CODE_IDENT_JAVA_009.java,36,1,CODE_FUN_JAVA_009,CODE_FUN_JAVA_009.java,java/CODE_FUN_JAVA_009.java,55,6,70,90,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_035,Java,9,structural,CODE_IDENT_JAVA_009,CODE_IDENT_JAVA_009.java,java/CODE_IDENT_JAVA_009.java,36,1,CODE_ESTRU_JAVA_009,CODE_ESTRU_JAVA_009.java,java/CODE_ESTRU_JAVA_009.java,36,1,40,60,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_036,Java,9,different,CODE_IDENT_JAVA_009,CODE_IDENT_JAVA_009.java,java/CODE_IDENT_JAVA_009.java,36,1,CODE_DIF_JAVA_009,CODE_DIF_JAVA_009.java,java/CODE_DIF_JAVA_009.java,90,8,0,20,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_037,Java,10,identical,CODE_IDENT_JAVA_010,CODE_IDENT_JAVA_010.java,java/CODE_IDENT_JAVA_010.java,33,1,CODE_IDENT_JAVA_010,CODE_IDENT_JAVA_010.java,java/CODE_IDENT_JAVA_010.java,33,1,100,100,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_038,Java,10,functional,CODE_IDENT_JAVA_010,CODE_IDENT_JAVA_010.java,java/CODE_IDENT_JAVA_010.java,33,1,CODE_FUN_JAVA_010,CODE_FUN_JAVA_010.java,java/CODE_FUN_JAVA_010.java,50,6,70,90,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_039,Java,10,structural,CODE_IDENT_JAVA_010,CODE_IDENT_JAVA_010.java,java/CODE_IDENT_JAVA_010.java,33,1,CODE_ESTRU_JAVA_010,CODE_ESTRU_JAVA_010.java,java/CODE_ESTRU_JAVA_010.java,96,6,40,60,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_040,Java,10,different,CODE_IDENT_JAVA_010,CODE_IDENT_JAVA_010.java,java/CODE_IDENT_JAVA_010.java,33,1,CODE_DIF_JAVA_010,CODE_DIF_JAVA_010.java,java/CODE_DIF_JAVA_010.java,96,6,0,20,Rafael Navas,2025-09-12,
CASE_CODE_JAVA_041,Java,11,identical,CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_011.java,java/CODE_IDENT_JAVA_011.java,30,1,CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_011.java,java/CODE_IDENT_JAVA_011.java,30,1,100,100,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_042,Java,11,functional,CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_011.java,java/CODE_IDENT_JAVA_011.java,30,1,CODE_FUN_JAVA_011,CODE_FUN_JAVA_011.java,java/CODE_FUN_JAVA_011.java,49,5,70,90,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_043,Java,11,structural,CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_011.java,java/CODE_IDENT_JAVA_011.java,30,1,CODE_ESTRU_JAVA_011,CODE_ESTRU_JAVA_011.java,java/CODE_ESTRU_JAVA_011.java,30,1,40,60,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_044,Java,11,different,CODE_IDENT_JAVA_011,CODE_IDENT_JAVA_011.java,java/CODE_IDENT_JAVA_011.java,30,1,CODE_DIF_JAVA_011,CODE_DIF_JAVA_011.java,java/CODE_DIF_JAVA_011.java,84,7,0,20,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_045,Java,12,identical,CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_012.java,java/CODE_IDENT_JAVA_012.java,25,1,CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_012.java,java/CODE_IDENT_JAVA_012.java,25,1,100,100,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_046,Java,12,functional,CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_012.java,java/CODE_IDENT_JAVA_012.java,25,1,CODE_FUN_JAVA_012,CODE_FUN_JAVA_012.java,java/CODE_FUN_JAVA_012.java,50,6,70,90,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_047,Java,12,structural,CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_012.java,java/CODE_IDENT_JAVA_012.java,25,1,CODE_ESTRU_JAVA_012,CODE_ESTRU_JAVA_012.java,java/CODE_ESTRU_JAVA_012.java,29,1,40,60,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_048,Java,12,different,CODE_IDENT_JAVA_012,CODE_IDENT_JAVA_012.java,java/CODE_IDENT_JAVA_012.java,25,1,CODE_DIF_JAVA_012,CODE_DIF_JAVA_012.java,java/CODE_DIF_JAVA_012.java,59,5,0,20,Rafael Navas,2025-09-13,
CASE_CODE_JAVA_049,Java,13,identical,CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_013.java,java/CODE_IDENT_JAVA_013.java,28,1,CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_013.java,java/CODE_IDENT_JAVA_013.java,28,1,100,100,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_050,Java,13,functional,CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_013.java,java/CODE_IDENT_JAVA_013.java,28,1,CODE_FUN_JAVA_013,CODE_FUN_JAVA_013.java,java/CODE_FUN_JAVA_013.java,45,6,70,90,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_051,Java,13,structural,CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_013.java,java/CODE_IDENT_JAVA_013.java,28,1,CODE_ESTRU_JAVA_013,CODE_ESTRU_JAVA_013.java,java/CODE_ESTRU_JAVA_013.java,29,1,40,60,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_052,Java,13,different,CODE_IDENT_JAVA_013,CODE_IDENT_JAVA_013.java,java/CODE_IDENT_JAVA_013.java,28,1,CODE_DIF_JAVA_013,CODE_DIF_JAVA_013.java,java/CODE_DIF_JAVA_013.java,97,9,0,20,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_053,Java,14,identical,CODE_IDENT_JAVA_014,CODE_IDENT_JAVA_014.java,java/CODE_IDENT_JAVA_014.java,41,1,CODE_IDENT_JAVA_014,CODE_IDENT_JAVA_014.java,java/CODE_IDENT_JAVA_014.java,41,1,100,100,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_054,Java,14,functional,CODE_IDENT_JAVA_014,CODE_IDENT_JAVA_014.java,java/CODE_IDENT_JAVA_014.java,41,1,CODE_FUN_JAVA_014,CODE_FUN_JAVA_014.java,java/CODE_FUN_JAVA_014.java,57,5,70,90,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_055,Java,14,structural,CODE_IDENT_JAVA_014,CODE_IDENT_JAVA_014.java,java/CODE_IDENT_JAVA_014.java,41,1,CODE_ESTRU_JAVA_014,CODE_ESTRU_JAVA_014.java,java/CODE_ESTRU_JAVA_014.java,38,1,40,60,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_056,Java,14,different,CODE_IDENT_JAVA_014,CODE_IDENT_JAVA_014.java,java/CODE_IDENT_JAVA_014.java,41,1,CODE_DIF_JAVA_014,CODE_DIF_JAVA_014.java,java/CODE_DIF_JAVA_014.java,79,5,0,20,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_057,Java,15,identical,CODE_IDENT_JAVA_015,CODE_IDENT_JAVA_015.java,java/CODE_IDENT_JAVA_015.java,48,1,CODE_IDENT_JAVA_015,CODE_IDENT_JAVA_015.java,java/CODE_IDENT_JAVA_015.java,48,1,100,100,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_058,Java,15,functional,CODE_IDENT_JAVA_015,CODE_IDENT_JAVA_015.java,java/CODE_IDENT_JAVA_015.java,48,1,CODE_FUN_JAVA_015,CODE_FUN_JAVA_015.java,java/CODE_FUN_JAVA_015.java,62,5,70,90,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_059,Java,15,structural,CODE_IDENT_JAVA_015,CODE_IDENT_JAVA_015.java,java/CODE_IDENT_JAVA_015.java,48,1,CODE_ESTRU_JAVA_015,CODE_ESTRU_JAVA_015.java,java/CODE_ESTRU_JAVA_015.java,123,10,40,60,Rafael Navas,2025-09-14,
CASE_CODE_JAVA_060,Java,15,different,CODE_IDENT_JAVA_015,CODE_IDENT_JAVA_015.java,java/CODE_IDENT_JAVA_015.java,48,1,CODE_DIF_JAVA_015,CODE_DIF_JAVA_015.java,java/CODE_DIF_JAVA_015.java,51,1,0,20,Rafael Navas,2025-09-14,
